Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
27,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_27.txt,0.0,-28.0,0.0,-28.0,0.0,-60.0,0.0,-60.0,0.0,-28.0,0.0,-88.0,True,128.0,9.0,52536.0,463.0,220.0,44421.0,422.0,201.0
28,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_28.txt,0.0,-91.0,0.0,-91.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-88.0,False,128.0,9.0,38522.0,411.0,187.0,31088.0,366.0,134.0
29,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_29.txt,0.0,-144.0,0.0,-144.0,0.0,-112.0,0.0,-112.0,0.0,-112.0,0.0,-256.0,True,128.0,19.0,39597.0,398.0,197.0,39597.0,398.0,197.0
30,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_30.txt,0.0,-160.0,0.0,-160.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,-124.0,False,128.0,7.0,45156.0,477.0,199.0,40479.0,440.0,131.0
31,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_31.txt,0.0,-223.0,0.0,-223.0,0.0,-143.0,0.0,-143.0,0.0,-143.0,0.0,-366.0,True,128.0,18.0,85504.0,590.0,270.0,85504.0,590.0,256.0
32,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_32.txt,0.0,-133.0,0.0,-133.0,0.0,-153.0,0.0,-153.0,0.0,-133.0,0.0,-286.0,True,128.0,19.0,54225.0,466.0,225.0,54225.0,466.0,225.0
33,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_33.txt,0.0,-16.0,0.0,-16.0,0.0,-248.0,0.0,-248.0,0.0,-16.0,0.0,-264.0,True,128.0,13.0,55640.0,481.0,216.0,53934.0,481.0,178.0
34,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_34.txt,0.0,-121.0,0.0,-121.0,0.0,-106.0,0.0,-106.0,0.0,-106.0,0.0,-227.0,True,128.0,8.0,87600.0,623.0,273.0,87600.0,605.0,240.0
35,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_35.txt,0.0,-6.0,0.0,-6.0,0.0,-74.0,0.0,-74.0,0.0,-6.0,0.0,-80.0,True,128.0,9.0,48300.0,445.0,211.0,39195.0,396.0,195.0
36,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_36.txt,0.0,-304.0,0.0,-304.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,-295.0,False,128.0,14.0,57043.0,511.0,206.0,50518.0,511.0,134.0
37,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_37.txt,4.0,4.0,4.0,4.0,0.0,-119.0,0.0,-119.0,4.0,4.0,4.0,-115.0,False,128.0,11.0,45216.0,484.0,189.0,41283.0,436.0,139.0
38,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_38.txt,0.0,-174.0,0.0,-174.0,0.0,-129.0,0.0,-129.0,0.0,-129.0,0.0,-303.0,True,128.0,21.0,45715.0,428.0,205.0,43739.0,420.0,191.0
39,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_39.txt,0.0,-40.0,0.0,-40.0,0.0,-128.0,0.0,-128.0,0.0,-40.0,0.0,-168.0,True,128.0,22.0,34444.0,422.0,164.0,29274.0,365.0,119.0
40,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_40.txt,0.0,-136.0,0.0,-136.0,0.0,-22.0,0.0,-22.0,0.0,-22.0,0.0,-158.0,True,128.0,9.0,88314.0,605.0,283.0,76153.0,554.0,253.0
41,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_41.txt,0.0,-23.0,0.0,-23.0,0.0,-90.0,0.0,-90.0,0.0,-23.0,0.0,-113.0,True,128.0,14.0,37674.0,395.0,185.0,37674.0,395.0,161.0
42,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_42.txt,0.0,-7.0,0.0,-7.0,0.0,-97.0,0.0,-97.0,0.0,-7.0,0.0,-104.0,True,128.0,19.0,64452.0,508.0,246.0,44521.0,422.0,211.0
43,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_43.txt,0.0,-182.0,0.0,-182.0,0.0,-6.0,0.0,-6.0,0.0,-6.0,0.0,-188.0,True,128.0,18.0,32335.0,368.0,176.0,32335.0,368.0,145.0
44,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_44.txt,46.0,46.0,46.0,46.0,0.0,-59.0,0.0,-59.0,46.0,46.0,46.0,-13.0,False,128.0,5.0,29232.0,422.0,149.0,25944.0,326.0,138.0
45,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_45.txt,0.0,-159.0,0.0,-159.0,0.0,-119.0,0.0,-119.0,0.0,-119.0,0.0,-278.0,True,128.0,19.0,59311.0,488.0,229.0,59311.0,488.0,229.0
46,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_46.txt,0.0,-114.0,0.0,-114.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-112.0,False,128.0,9.0,58011.0,521.0,226.0,55596.0,472.0,226.0
47,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_47.txt,0.0,-82.0,0.0,-82.0,0.0,-91.0,0.0,-91.0,0.0,-82.0,0.0,-173.0,True,128.0,10.0,56840.0,477.0,232.0,53724.0,464.0,222.0
48,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_48.txt,0.0,-95.0,0.0,-95.0,0.0,-113.0,0.0,-113.0,0.0,-95.0,0.0,-208.0,True,128.0,15.0,37286.0,387.0,181.0,37286.0,387.0,181.0
49,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_49.txt,0.0,-14.0,0.0,-14.0,0.0,-13.0,0.0,-13.0,0.0,-13.0,0.0,-27.0,True,128.0,7.0,37026.0,385.0,187.0,28372.0,337.0,164.0
50,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_50.txt,0.0,-167.0,0.0,-167.0,0.0,-34.0,0.0,-34.0,0.0,-34.0,0.0,-201.0,True,128.0,12.0,66584.0,519.0,246.0,66584.0,519.0,232.0
51,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_51.txt,0.0,-279.0,0.0,-279.0,0.0,-171.0,0.0,-171.0,0.0,-171.0,0.0,-450.0,True,128.0,21.0,94582.0,623.0,278.0,94582.0,623.0,262.0
52,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_52.txt,0.0,-51.0,0.0,-51.0,0.0,-264.0,0.0,-264.0,0.0,-51.0,0.0,-315.0,True,128.0,16.0,67320.0,535.0,255.0,64416.0,535.0,183.0
53,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_53.txt,72.0,72.0,72.0,72.0,0.0,-138.0,0.0,-138.0,72.0,72.0,72.0,-66.0,False,128.0,13.0,51600.0,460.0,221.0,41230.0,407.0,190.0
54,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_54.txt,0.0,-12.0,0.0,-12.0,0.0,-108.0,0.0,-108.0,0.0,-12.0,0.0,-120.0,True,128.0,15.0,35700.0,382.0,170.0,27776.0,345.0,128.0
55,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_55.txt,0.0,-220.0,0.0,-220.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,-133.0,False,128.0,7.0,54315.0,486.0,219.0,44118.0,471.0,129.0
56,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_56.txt,29.0,29.0,29.0,29.0,0.0,-31.0,0.0,-31.0,29.0,29.0,29.0,-2.0,False,128.0,14.0,66096.0,515.0,243.0,38925.0,398.0,173.0
57,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_57.txt,0.0,-13.0,0.0,-13.0,0.0,-69.0,0.0,-69.0,0.0,-13.0,0.0,-82.0,True,128.0,9.0,63210.0,503.0,245.0,51106.0,455.0,202.0
58,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_58.txt,0.0,-178.0,0.0,-178.0,0.0,-61.0,0.0,-61.0,0.0,-61.0,0.0,-239.0,True,128.0,15.0,48132.0,445.0,215.0,47730.0,437.0,215.0
59,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_59.txt,0.0,-97.0,0.0,-97.0,0.0,-43.0,0.0,-43.0,0.0,-43.0,0.0,-140.0,True,128.0,19.0,57120.0,479.0,224.0,41580.0,409.0,189.0
60,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_60.txt,0.0,-47.0,0.0,-47.0,0.0,-83.0,0.0,-83.0,0.0,-47.0,0.0,-130.0,True,128.0,8.0,82688.0,576.0,272.0,82688.0,576.0,272.0
61,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_61.txt,0.0,-119.0,0.0,-119.0,0.0,-133.0,0.0,-133.0,0.0,-119.0,0.0,-252.0,True,128.0,13.0,61332.0,499.0,230.0,61332.0,497.0,228.0
62,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_62.txt,51.0,51.0,51.0,51.0,0.0,-214.0,0.0,-214.0,51.0,51.0,51.0,-163.0,False,128.0,11.0,62208.0,499.0,243.0,57905.0,498.0,185.0
63,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_63.txt,0.0,-42.0,0.0,-42.0,0.0,-160.0,0.0,-160.0,0.0,-42.0,0.0,-202.0,True,128.0,15.0,66360.0,526.0,245.0,62910.0,503.0,233.0
64,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_64.txt,0.0,-54.0,0.0,-54.0,0.0,-204.0,0.0,-204.0,0.0,-54.0,0.0,-258.0,True,128.0,15.0,53214.0,475.0,217.0,53214.0,475.0,181.0
65,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_65.txt,0.0,-30.0,0.0,-30.0,0.0,-142.0,0.0,-142.0,0.0,-30.0,0.0,-172.0,True,128.0,15.0,55013.0,474.0,229.0,55013.0,474.0,203.0
66,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_66.txt,0.0,-166.0,0.0,-166.0,0.0,-98.0,0.0,-98.0,0.0,-98.0,0.0,-264.0,True,128.0,16.0,64974.0,515.0,243.0,64974.0,515.0,221.0
67,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_67.txt,0.0,-54.0,0.0,-54.0,0.0,-164.0,0.0,-164.0,0.0,-54.0,0.0,-218.0,True,128.0,15.0,32461.0,370.0,161.0,32461.0,370.0,143.0
68,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_68.txt,0.0,-201.0,0.0,-201.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,-166.0,False,128.0,16.0,33635.0,372.0,158.0,22950.0,345.0,90.0
69,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_69.txt,50.0,50.0,50.0,50.0,0.0,-5.0,0.0,-5.0,50.0,50.0,50.0,45.0,False,128.0,6.0,41472.0,417.0,193.0,25935.0,328.0,133.0
70,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_70.txt,0.0,-62.0,0.0,-62.0,0.0,-145.0,0.0,-145.0,0.0,-62.0,0.0,-207.0,True,128.0,14.0,63525.0,506.0,244.0,63525.0,506.0,231.0
71,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_71.txt,7.0,7.0,7.0,7.0,0.0,-228.0,0.0,-228.0,7.0,7.0,7.0,-221.0,False,128.0,12.0,60760.0,493.0,245.0,52416.0,480.0,168.0
72,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_72.txt,0.0,-78.0,0.0,-78.0,0.0,-128.0,0.0,-128.0,0.0,-78.0,0.0,-206.0,True,128.0,13.0,35344.0,378.0,188.0,35344.0,376.0,188.0
73,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_73.txt,0.0,-28.0,0.0,-28.0,0.0,-163.0,0.0,-163.0,0.0,-28.0,0.0,-191.0,True,128.0,18.0,37436.0,389.0,191.0,34524.0,389.0,137.0
74,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_74.txt,0.0,-99.0,0.0,-99.0,0.0,-95.0,0.0,-95.0,0.0,-95.0,0.0,-194.0,True,128.0,14.0,37572.0,388.0,187.0,37572.0,388.0,186.0
75,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_75.txt,0.0,-73.0,0.0,-73.0,0.0,-74.0,0.0,-74.0,0.0,-73.0,0.0,-147.0,True,128.0,15.0,24160.0,311.0,151.0,24160.0,311.0,151.0
76,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_76.txt,0.0,-90.0,0.0,-90.0,0.0,-115.0,0.0,-115.0,0.0,-90.0,0.0,-205.0,True,128.0,13.0,47385.0,444.0,205.0,47385.0,438.0,195.0
77,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_77.txt,0.0,-175.0,0.0,-175.0,0.0,-11.0,0.0,-11.0,0.0,-11.0,0.0,-186.0,True,128.0,20.0,43008.0,449.0,196.0,35346.0,403.0,129.0
78,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_78.txt,0.0,-77.0,0.0,-77.0,0.0,-151.0,0.0,-151.0,0.0,-77.0,0.0,-228.0,True,128.0,10.0,65928.0,514.0,246.0,65928.0,514.0,246.0
79,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_79.txt,0.0,-120.0,0.0,-120.0,0.0,-101.0,0.0,-101.0,0.0,-101.0,0.0,-221.0,True,128.0,15.0,58311.0,488.0,227.0,58311.0,488.0,209.0
80,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_80.txt,0.0,-51.0,0.0,-51.0,0.0,-150.0,0.0,-150.0,0.0,-51.0,0.0,-201.0,True,128.0,15.0,47124.0,437.0,204.0,44772.0,437.0,164.0
81,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_81.txt,0.0,-64.0,0.0,-64.0,0.0,-224.0,0.0,-224.0,0.0,-64.0,0.0,-288.0,True,128.0,25.0,39600.0,414.0,186.0,39600.0,414.0,150.0
82,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_82.txt,0.0,-69.0,0.0,-69.0,0.0,-33.0,0.0,-33.0,0.0,-33.0,0.0,-102.0,True,128.0,13.0,48230.0,488.0,204.0,39150.0,415.0,145.0
83,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_83.txt,8.0,8.0,8.0,8.0,0.0,-156.0,0.0,-156.0,8.0,8.0,8.0,-148.0,False,128.0,9.0,34250.0,387.0,169.0,34250.0,387.0,137.0
84,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_84.txt,0.0,-280.0,0.0,-280.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,-186.0,False,128.0,14.0,34164.0,382.0,174.0,23485.0,382.0,77.0
85,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_85.txt,0.0,-49.0,0.0,-49.0,0.0,-188.0,0.0,-188.0,0.0,-49.0,0.0,-237.0,True,128.0,19.0,42387.0,412.0,199.0,40020.0,404.0,174.0
86,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_86.txt,0.0,-33.0,0.0,-33.0,0.0,-116.0,0.0,-116.0,0.0,-33.0,0.0,-149.0,True,128.0,8.0,52432.0,460.0,226.0,50007.0,448.0,211.0
87,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_87.txt,0.0,-14.0,0.0,-14.0,0.0,-161.0,0.0,-161.0,0.0,-14.0,0.0,-175.0,True,128.0,24.0,45385.0,503.0,170.0,30797.0,402.0,103.0
88,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_88.txt,0.0,-84.0,0.0,-84.0,0.0,-68.0,0.0,-68.0,0.0,-68.0,0.0,-152.0,True,128.0,13.0,40198.0,402.0,199.0,40198.0,401.0,199.0
89,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_89.txt,6.0,6.0,6.0,6.0,0.0,-175.0,0.0,-175.0,6.0,6.0,6.0,-169.0,False,128.0,11.0,66308.0,516.0,242.0,61143.0,496.0,229.0
90,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_90.txt,0.0,-236.0,0.0,-236.0,0.0,-56.0,0.0,-56.0,0.0,-56.0,0.0,-292.0,True,128.0,19.0,48972.0,472.0,193.0,45633.0,446.0,159.0
91,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_91.txt,0.0,-121.0,0.0,-121.0,0.0,-83.0,0.0,-83.0,0.0,-83.0,0.0,-204.0,True,128.0,13.0,54747.0,470.0,231.0,54747.0,468.0,231.0
92,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_92.txt,0.0,-9.0,0.0,-9.0,0.0,-133.0,0.0,-133.0,0.0,-9.0,0.0,-142.0,True,128.0,22.0,39368.0,434.0,183.0,31490.0,369.0,134.0
93,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_93.txt,0.0,-53.0,0.0,-53.0,0.0,-92.0,0.0,-92.0,0.0,-53.0,0.0,-145.0,True,128.0,14.0,50688.0,472.0,199.0,40836.0,412.0,166.0
94,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_94.txt,12.0,12.0,12.0,12.0,0.0,-184.0,0.0,-184.0,12.0,12.0,12.0,-172.0,False,128.0,14.0,70632.0,543.0,250.0,53253.0,474.0,183.0
95,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_95.txt,0.0,-158.0,0.0,-158.0,0.0,-36.0,0.0,-36.0,0.0,-36.0,0.0,-194.0,True,128.0,13.0,46020.0,464.0,201.0,46020.0,451.0,156.0
96,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_96.txt,0.0,-128.0,0.0,-128.0,0.0,-102.0,0.0,-102.0,0.0,-102.0,0.0,-230.0,True,128.0,16.0,51657.0,458.0,201.0,51657.0,458.0,201.0
97,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_97.txt,0.0,-101.0,0.0,-101.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-201.0,True,128.0,18.0,29200.0,346.0,168.0,29200.0,346.0,146.0
98,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_98.txt,0.0,-136.0,0.0,-136.0,0.0,-72.0,0.0,-72.0,0.0,-72.0,0.0,-208.0,True,128.0,17.0,45854.0,435.0,202.0,45854.0,429.0,202.0
99,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_99.txt,0.0,-331.0,0.0,-331.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,-315.0,False,128.0,16.0,37516.0,455.0,154.0,32296.0,455.0,88.0
100,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_100.txt,0.0,-29.0,0.0,-29.0,0.0,-29.0,0.0,-29.0,0.0,-29.0,0.0,-58.0,True,128.0,6.0,51342.0,457.0,218.0,46209.0,430.0,211.0
